ExecutionTime(us),SimulationTime(s),Velocity(m/s)
0.512,0.00,1.8381
5.524,0.25,20.2505
10.535,0.50,38.6957
15.547,0.75,57.1378
20.559,1.00,75.5404
25.571,1.25,93.8662
30.582,1.50,112.0781
35.594,1.75,130.1388
40.606,2.00,148.0115
45.618,2.25,165.6600
50.629,2.50,183.0494
55.641,2.75,200.1456
60.653,3.00,216.9163
65.665,3.25,233.3311
70.676,3.50,249.3612
75.688,3.75,264.9804
80.700,4.00,280.1646
85.712,4.25,294.8924
90.724,4.50,309.1448
95.735,4.75,322.9055
100.747,5.00,336.1609
105.759,5.25,348.9003
110.771,5.50,361.1152
115.782,5.75,372.8001
120.794,6.00,383.9519
125.806,6.25,394.5699
130.818,6.50,404.6554
135.829,6.75,414.2123
140.841,7.00,423.2463
145.853,7.25,431.7647
150.865,7.50,439.7766
155.876,7.75,447.2928
160.888,8.00,454.3249
165.900,8.25,460.8858
170.912,8.50,466.9895
175.924,8.75,472.6506
180.935,9.00,477.8844
185.947,9.25,482.7065
190.959,9.50,487.1332
195.971,9.75,491.1805
200.982,10.00,494.8650
205.994,10.25,498.2029
211.006,10.50,501.2104
216.018,10.75,503.9035
221.029,11.00,506.2981
226.041,11.25,508.4095
231.053,11.50,510.2529
236.065,11.75,511.8428
241.076,12.00,513.1934
246.088,12.25,514.3183
251.100,12.50,515.2307
256.112,12.75,515.9432
261.124,13.00,516.4680
266.135,13.25,516.8163
271.147,13.50,516.9994
276.159,13.75,517.0276
281.171,14.00,516.9109
286.182,14.25,516.6586
291.194,14.50,516.2795
296.206,14.75,515.7820
301.218,15.00,515.1740
306.230,15.25,514.4629
311.241,15.50,513.6556
316.253,15.75,512.7586
321.265,16.00,511.7782
326.277,16.25,510.7199
331.288,16.50,509.5890
336.300,16.75,508.3904
341.312,17.00,507.1290
346.324,17.25,505.8087
351.336,17.50,504.4338
356.347,17.75,503.0078
361.359,18.00,501.5343
366.371,18.25,500.0163
371.383,18.50,498.4567
376.394,18.75,496.8583
381.406,19.00,495.2236
386.418,19.25,493.5548
391.430,19.50,491.8539
396.442,19.75,490.1230
401.453,20.00,488.3639
406.465,20.25,486.5780
411.477,20.50,484.7669
416.489,20.75,482.9320
421.500,21.00,481.0744
426.512,21.25,479.1954
431.524,21.50,477.2957
436.536,21.75,475.3764
441.548,22.00,473.4383
446.559,22.25,471.4822
451.571,22.50,469.5088
456.583,22.75,467.5185
461.595,23.00,465.5118
466.607,23.25,463.4894
