ExecutionTime(us),SimulationTime(s),Velocity(m/s)
2752.000,0.00,36.7617
30016.000,5.00,364.7667
57248.000,10.00,506.9972
84480.000,15.00,516.1590
111712.000,20.00,485.5291
138944.000,25.00,444.9968
166176.000,30.00,399.0228
193408.000,35.00,346.6462
220640.000,40.00,285.0915
247872.000,45.00,208.5914
273792.000,50.00,101.9230
287936.000,55.00,25.8096
302080.000,60.00,-23.7189
316224.000,65.00,-61.1247
330368.000,70.00,-79.3891
344512.000,75.00,-86.1827
358656.000,80.00,-88.4383
372800.000,85.00,-89.1580
386944.000,90.00,-89.3848
401088.000,95.00,-89.4559
415232.000,100.00,-89.4782
429376.000,105.00,-89.4852
443520.000,110.00,-89.4874
457664.000,115.00,-89.4880
471808.000,120.00,-89.4883
485952.000,125.00,-89.4883
500128.000,130.00,-89.4883
514272.000,135.00,-89.4883
528416.000,140.00,-89.4883
542560.000,145.00,-89.4883
556704.000,150.00,-89.4883
570848.000,155.00,-89.4883
584992.000,160.00,-89.4883
599136.000,165.00,-89.4883
613280.000,170.00,-89.4883
627424.000,175.00,-89.4883
641568.000,180.00,-89.4883
655712.000,185.00,-89.4883
669856.000,190.00,-89.4883
684000.000,195.00,-89.4883
698144.000,200.00,-89.4883
712288.000,205.00,-89.4883
726432.000,210.00,-89.4883
740576.000,215.00,-89.4883
754720.000,220.00,-89.4883
768896.000,225.00,-89.4883
783040.000,230.00,-89.4883
797184.000,235.00,-89.4883
811328.000,240.00,-89.4883
825472.000,245.00,-89.4883
839648.000,250.00,-89.4883
