ExecutionTime(us),SimulationTime(s),Velocity(m/s)
2752.000,0.00,36.7617
30016.000,5.00,364.7667
57248.000,10.00,506.9972
84480.000,15.00,516.1590
111712.000,20.00,485.5291
138944.000,25.00,444.9968
166176.000,30.00,399.0228
193408.000,35.00,346.6462
220640.000,40.00,285.0915
247904.000,45.00,208.5914
273824.000,50.00,101.9230
287968.000,55.00,25.8096
302112.000,60.00,-23.7189
316256.000,65.00,-61.1247
330432.000,70.00,-79.3891
344576.000,75.00,-86.1827
358720.000,80.00,-88.4383
372864.000,85.00,-89.1580
387008.000,90.00,-89.3848
401152.000,95.00,-89.4559
415296.000,100.00,-89.4782
429472.000,105.00,-89.4852
443616.000,110.00,-89.4874
457760.000,115.00,-89.4880
471904.000,120.00,-89.4883
486048.000,125.00,-89.4883
500192.000,130.00,-89.4883
514336.000,135.00,-89.4883
528480.000,140.00,-89.4883
542624.000,145.00,-89.4883
556768.000,150.00,-89.4883
570912.000,155.00,-89.4883
585056.000,160.00,-89.4883
599200.000,165.00,-89.4883
613344.000,170.00,-89.4883
627488.000,175.00,-89.4883
641632.000,180.00,-89.4883
655776.000,185.00,-89.4883
669920.000,190.00,-89.4883
684064.000,195.00,-89.4883
698208.000,200.00,-89.4883
712352.000,205.00,-89.4883
726496.000,210.00,-89.4883
740640.000,215.00,-89.4883
754784.000,220.00,-89.4883
768928.000,225.00,-89.4883
783072.000,230.00,-89.4883
797216.000,235.00,-89.4883
811360.000,240.00,-89.4883
825504.000,245.00,-89.4883
839648.000,250.00,-89.4883
