ExecutionTime(us),SimulationTime(s),Velocity(m/s)
9.112,0.00,7.3575
98.853,1.00,81.0460
188.582,2.00,153.2975
278.323,3.00,221.7903
368.053,4.00,284.4737
457.782,5.00,339.8094
547.512,6.00,386.9061
637.241,7.00,425.5280
726.976,8.00,455.9959
816.705,9.00,479.0299
906.435,10.00,495.5777
996.164,11.00,506.6671
1085.893,12.00,513.2978
1175.623,13.00,516.3735
1265.353,14.00,516.6702
1355.083,15.00,514.8270
1444.812,16.00,511.3547
1534.542,17.00,506.6503
1624.272,18.00,501.0155
1714.001,19.00,494.6747
1803.731,20.00,487.7917
1893.461,21.00,480.4832
1983.191,22.00,472.8307
2072.926,23.00,464.8889
2162.655,24.00,456.6935
2252.395,25.00,448.2656
2342.124,26.00,439.6163
2431.853,27.00,430.7489
2521.582,28.00,421.6613
2611.310,29.00,412.3475
2701.045,30.00,402.7977
2790.774,31.00,392.9996
2880.502,32.00,382.9384
2970.231,33.00,372.5969
3059.972,34.00,361.9550
3149.700,35.00,350.9901
3239.435,36.00,339.6761
3329.164,37.00,327.9832
3418.893,38.00,315.8769
3508.621,39.00,303.3174
3598.350,40.00,290.2583
3688.079,41.00,276.6447
3777.808,42.00,262.4112
3867.536,43.00,247.4792
3957.271,44.00,231.7528
4047.000,45.00,215.1136
4136.753,46.00,197.4127
4226.484,47.00,178.4595
4316.215,48.00,158.0047
4405.946,49.00,135.7142
4494.618,50.00,111.1756
4570.222,51.00,89.1376
4645.832,52.00,71.4543
4721.436,53.00,56.6282
4797.040,54.00,43.7327
4872.644,55.00,32.1538
4948.248,56.00,21.4558
5023.852,57.00,11.3079
5099.456,58.00,1.4384
5175.060,59.00,-8.3474
5250.664,60.00,-17.9356
5326.268,61.00,-27.1132
5401.872,62.00,-35.7030
5477.476,63.00,-43.5756
5553.080,64.00,-50.6534
5628.731,65.00,-56.9073
5704.335,66.00,-62.3491
5779.939,67.00,-67.0214
5855.543,68.00,-70.9874
5931.147,69.00,-74.3211
6006.751,70.00,-77.1005
6082.355,71.00,-79.4019
6157.959,72.00,-81.2968
6233.563,73.00,-82.8497
6309.167,74.00,-84.1175
6384.771,75.00,-85.1493
6460.375,76.00,-85.9868
6535.979,77.00,-86.6653
6611.589,78.00,-87.2140
6687.193,79.00,-87.6572
6762.797,80.00,-88.0147
6838.401,81.00,-88.3029
6914.005,82.00,-88.5351
6989.609,83.00,-88.7219
7065.213,84.00,-88.8723
7140.817,85.00,-88.9933
7216.427,86.00,-89.0905
7292.031,87.00,-89.1687
7367.653,88.00,-89.2315
7443.257,89.00,-89.2820
7518.861,90.00,-89.3226
7594.465,91.00,-89.3552
7670.069,92.00,-89.3814
7745.673,93.00,-89.4024
7821.289,94.00,-89.4194
7896.893,95.00,-89.4329
7972.497,96.00,-89.4438
8048.101,97.00,-89.4526
8123.705,98.00,-89.4596
8199.309,99.00,-89.4653
8274.913,100.00,-89.4698
8350.518,101.00,-89.4734
8426.122,102.00,-89.4764
8501.727,103.00,-89.4787
8577.337,104.00,-89.4806
8652.941,105.00,-89.4821
8728.546,106.00,-89.4834
8804.150,107.00,-89.4843
8879.755,108.00,-89.4851
8955.359,109.00,-89.4858
9030.987,110.00,-89.4863
9106.592,111.00,-89.4867
9182.202,112.00,-89.4870
9257.807,113.00,-89.4873
9333.411,114.00,-89.4875
9409.016,115.00,-89.4876
9484.620,116.00,-89.4878
9560.225,117.00,-89.4879
9635.829,118.00,-89.4880
9711.434,119.00,-89.4880
9787.038,120.00,-89.4881
9862.643,121.00,-89.4882
9938.247,122.00,-89.4882
10013.857,123.00,-89.4882
10089.462,124.00,-89.4882
10165.066,125.00,-89.4882
10240.671,126.00,-89.4882
10316.275,127.00,-89.4882
10391.880,128.00,-89.4882
10467.496,129.00,-89.4882
10543.101,130.00,-89.4882
10618.705,131.00,-89.4882
10694.310,132.00,-89.4882
10769.914,133.00,-89.4882
10845.524,134.00,-89.4882
10921.129,135.00,-89.4882
10996.751,136.00,-89.4882
11072.355,137.00,-89.4882
11147.978,138.00,-89.4882
11223.582,139.00,-89.4882
11299.216,140.00,-89.4882
11374.820,141.00,-89.4882
11450.425,142.00,-89.4882
11526.029,143.00,-89.4882
11601.634,144.00,-89.4882
11677.238,145.00,-89.4882
11752.843,146.00,-89.4882
11828.447,147.00,-89.4882
11904.063,148.00,-89.4882
11979.668,149.00,-89.4882
12055.272,150.00,-89.4882
12130.877,151.00,-89.4882
12206.481,152.00,-89.4882
12282.086,153.00,-89.4882
12357.690,154.00,-89.4882
12433.295,155.00,-89.4882
12508.899,156.00,-89.4882
12584.504,157.00,-89.4882
12660.114,158.00,-89.4882
12735.719,159.00,-89.4882
12811.323,160.00,-89.4882
12886.928,161.00,-89.4882
12962.550,162.00,-89.4882
13038.154,163.00,-89.4882
13113.759,164.00,-89.4882
13189.363,165.00,-89.4882
