ExecutionTime(us),SimulationTime(s),Velocity(m/s)
48960.000,0.00,36.8542
532256.000,5.00,359.6638
1015424.000,10.00,500.6106
1498784.000,15.00,513.6088
1982112.000,20.00,484.9142
2465280.000,25.00,444.8325
2948448.000,30.00,398.9097
3431616.000,35.00,346.5085
3914848.000,40.00,284.8824
4398080.000,45.00,208.1684
4871776.000,50.00,101.7013
5278016.000,55.00,27.7873
5684320.000,60.00,-21.6684
6090816.000,65.00,-59.1805
6497312.000,70.00,-78.0747
6903584.000,75.00,-85.5056
7309792.000,80.00,-88.1376
7716224.000,85.00,-89.0347
8122688.000,90.00,-89.3365
8529024.000,95.00,-89.4376
8935392.000,100.00,-89.4714
9341760.000,105.00,-89.4827
9748128.000,110.00,-89.4865
10154496.000,115.00,-89.4877
10560960.000,120.00,-89.4881
10967360.000,125.00,-89.4883
11373760.000,130.00,-89.4883
11780128.000,135.00,-89.4883
12186496.000,140.00,-89.4883
12592928.000,145.00,-89.4883
12999232.000,150.00,-89.4883
13405440.000,155.00,-89.4883
13811840.000,160.00,-89.4883
14218208.000,165.00,-89.4883
14624544.000,170.00,-89.4883
15031040.000,175.00,-89.4883
15437280.000,180.00,-89.4883
15843648.000,185.00,-89.4883
16250016.000,190.00,-89.4883
16656416.000,195.00,-89.4883
17062816.000,200.00,-89.4883
17469120.000,205.00,-89.4883
17875488.000,210.00,-89.4883
18281760.000,215.00,-89.4883
18688224.000,220.00,-89.4883
19094688.000,225.00,-89.4883
19501088.000,230.00,-89.4883
19907488.000,235.00,-89.4883
20313856.000,240.00,-89.4883
20720224.000,245.00,-89.4883
21126624.000,250.00,-89.4883
